source_gene_symbol	source_gene_symbol	target_gene_symbol	value
DNAJA3	DNAJA3	RGS2	-0.242088788793
SERPINE1	SERPINE1	RGS2	-0.111730350804
ACLY	ACLY	RGS2	0.246364087491
PCNA	PCNA	RGS2	0.277016452266
ADO	ADO	RGS2	0.0891323433981
HSPB1	HSPB1	RGS2	-0.0192006718327
LAMA3	LAMA3	RGS2	0.294155819369
SNAP25	SNAP25	RGS2	0.218383784403
OXA1L	OXA1L	RGS2	0.161239836623
CDC20	CDC20	RGS2	0.12825896095
TLR4	TLR4	RGS2	-0.159102187273
MAP7	MAP7	RGS2	0.149330075963
GPATCH8	GPATCH8	RGS2	0.0872619002176
S100A4	S100A4	RGS2	0.158186051838
IFRD2	IFRD2	RGS2	0.111195938466
DDIT4	DDIT4	RGS2	0.210749322442
TSC22D3	TSC22D3	RGS2	0.43004924228
CREG1	CREG1	RGS2	0.158491430316
HOXA5	HOXA5	RGS2	0.455357483681
TES	TES	RGS2	-0.274611596748
CTSD	CTSD	RGS2	-0.195823949307
CAPN1	CAPN1	RGS2	-0.0246211398252
TUBB6	TUBB6	RGS2	0.115662098714
FOSL1	FOSL1	RGS2	-0.288582662137
RGS2	RGS2	DNAJA3	-0.242088788793
SERPINE1	SERPINE1	DNAJA3	-0.318089857617
ACLY	ACLY	DNAJA3	-0.508569683552
PCNA	PCNA	DNAJA3	-0.336756117113
ADO	ADO	DNAJA3	-0.397335572776
HSPB1	HSPB1	DNAJA3	-0.105584608925
LAMA3	LAMA3	DNAJA3	-0.254036721762
SNAP25	SNAP25	DNAJA3	0.107760430584
OXA1L	OXA1L	DNAJA3	-0.574798641066
CDC20	CDC20	DNAJA3	-0.347444363858
TLR4	TLR4	DNAJA3	0.167271061572
MAP7	MAP7	DNAJA3	-0.229453754247
GPATCH8	GPATCH8	DNAJA3	-0.111844867733
S100A4	S100A4	DNAJA3	-0.0164140932168
IFRD2	IFRD2	DNAJA3	-0.390655418559
DDIT4	DDIT4	DNAJA3	-0.46157957018
TSC22D3	TSC22D3	DNAJA3	0.00526777875329
CREG1	CREG1	DNAJA3	-0.273657289003
HOXA5	HOXA5	DNAJA3	-0.348055120815
TES	TES	DNAJA3	0.547123716456
CTSD	CTSD	DNAJA3	0.18925831202
CAPN1	CAPN1	DNAJA3	-0.0284383708058
TUBB6	TUBB6	DNAJA3	-0.338092147956
FOSL1	FOSL1	DNAJA3	-0.413635149063
RGS2	RGS2	SERPINE1	-0.111730350804
DNAJA3	DNAJA3	SERPINE1	-0.318089857617
ACLY	ACLY	SERPINE1	0.549604916594
PCNA	PCNA	SERPINE1	0.665839599954
ADO	ADO	SERPINE1	0.0173302286521
HSPB1	HSPB1	SERPINE1	-0.421804023361
LAMA3	LAMA3	SERPINE1	0.635683475207
SNAP25	SNAP25	SERPINE1	-0.22487307707
OXA1L	OXA1L	SERPINE1	0.20899339619
CDC20	CDC20	SERPINE1	0.79295339161
TLR4	TLR4	SERPINE1	-0.433675611711
MAP7	MAP7	SERPINE1	-0.269954574951
GPATCH8	GPATCH8	SERPINE1	0.115585754094
S100A4	S100A4	SERPINE1	-0.720769553766
IFRD2	IFRD2	SERPINE1	0.503721800206
DDIT4	DDIT4	SERPINE1	0.0136656869107
TSC22D3	TSC22D3	SERPINE1	-0.736763751575
CREG1	CREG1	SERPINE1	-0.303546207581
HOXA5	HOXA5	SERPINE1	0.414894835286
TES	TES	SERPINE1	-0.30572202924
CTSD	CTSD	SERPINE1	-0.563156086575
CAPN1	CAPN1	SERPINE1	-0.545864030232
TUBB6	TUBB6	SERPINE1	0.663511089056
FOSL1	FOSL1	SERPINE1	0.603275184181
RGS2	RGS2	ACLY	0.246364087491
DNAJA3	DNAJA3	ACLY	-0.508569683552
SERPINE1	SERPINE1	ACLY	0.549604916594
PCNA	PCNA	ACLY	0.4970798183
ADO	ADO	ACLY	0.144329503378
HSPB1	HSPB1	ACLY	0.0231324197427
LAMA3	LAMA3	ACLY	0.555025384586
SNAP25	SNAP25	ACLY	-0.192846509142
OXA1L	OXA1L	ACLY	0.70817269153
CDC20	CDC20	ACLY	0.612283849296
TLR4	TLR4	ACLY	-0.64690613429
MAP7	MAP7	ACLY	0.229682788106
GPATCH8	GPATCH8	ACLY	0.198610527923
S100A4	S100A4	ACLY	-0.166545787686
IFRD2	IFRD2	ACLY	0.620910791312
DDIT4	DDIT4	ACLY	0.539031186777
TSC22D3	TSC22D3	ACLY	-0.148604802077
CREG1	CREG1	ACLY	0.226934381799
HOXA5	HOXA5	ACLY	0.614345154025
TES	TES	ACLY	-0.675573538955
CTSD	CTSD	ACLY	-0.316639309845
CAPN1	CAPN1	ACLY	-0.16967591709
TUBB6	TUBB6	ACLY	0.608275756766
FOSL1	FOSL1	ACLY	0.526128946063
RGS2	RGS2	PCNA	0.277016452266
DNAJA3	DNAJA3	PCNA	-0.336756117113
SERPINE1	SERPINE1	PCNA	0.665839599954
ACLY	ACLY	PCNA	0.4970798183
ADO	ADO	PCNA	-0.182349123945
HSPB1	HSPB1	PCNA	-0.544031759362
LAMA3	LAMA3	PCNA	0.773981753636
SNAP25	SNAP25	PCNA	0.06508378822
OXA1L	OXA1L	PCNA	0.201702485017
CDC20	CDC20	PCNA	0.873993205329
TLR4	TLR4	PCNA	-0.477955491087
MAP7	MAP7	PCNA	-0.200404626484
GPATCH8	GPATCH8	PCNA	0.116043821812
S100A4	S100A4	PCNA	-0.657365347177
IFRD2	IFRD2	PCNA	0.47532160171
DDIT4	DDIT4	PCNA	0.0877581402451
TSC22D3	TSC22D3	PCNA	-0.384471504371
