gene_symbol	signature	value	drug	concentration	timepoint
RGS2	dasatinib_0.04_24	0.179978834973	dasatinib	0.04	24
RGS2	dasatinib_0.12_24	0.172508344616	dasatinib	0.12	24
RGS2	dasatinib_0.37_24	0.134642307696	dasatinib	0.37	24
RGS2	dasatinib_1.11_24	0.221243205851	dasatinib	1.11	24
RGS2	dasatinib_3.33_24	0.145116130804	dasatinib	3.33	24
RGS2	dasatinib_10.0_24	0.13485452197	dasatinib	10.0	24
PCNA	dasatinib_0.04_24	-0.107295194628	dasatinib	0.04	24
PCNA	dasatinib_0.12_24	0.0211053969896	dasatinib	0.12	24
PCNA	dasatinib_0.37_24	-0.123300180713	dasatinib	0.37	24
PCNA	dasatinib_1.11_24	-0.0585387957257	dasatinib	1.11	24
PCNA	dasatinib_3.33_24	-0.0876852432991	dasatinib	3.33	24
PCNA	dasatinib_10.0_24	-0.130265650988	dasatinib	10.0	24
HOXA5	dasatinib_0.04_24	0.0989044043524	dasatinib	0.04	24
HOXA5	dasatinib_0.12_24	0.135215656113	dasatinib	0.12	24
HOXA5	dasatinib_0.37_24	0.0520306085808	dasatinib	0.37	24
HOXA5	dasatinib_1.11_24	0.137484580877	dasatinib	1.11	24
HOXA5	dasatinib_3.33_24	0.0818805167069	dasatinib	3.33	24
HOXA5	dasatinib_10.0_24	0.031196342842	dasatinib	10.0	24
CDC20	dasatinib_0.04_24	-0.103264860184	dasatinib	0.04	24
CDC20	dasatinib_0.12_24	-0.133135548589	dasatinib	0.12	24
CDC20	dasatinib_0.37_24	-0.116226025496	dasatinib	0.37	24
CDC20	dasatinib_1.11_24	-0.186742484985	dasatinib	1.11	24
CDC20	dasatinib_3.33_24	-0.14219394047	dasatinib	3.33	24
CDC20	dasatinib_10.0_24	-0.257134179185	dasatinib	10.0	24
TSC22D3	dasatinib_0.04_24	0.100555064279	dasatinib	0.04	24
TSC22D3	dasatinib_0.12_24	0.0916338441867	dasatinib	0.12	24
TSC22D3	dasatinib_0.37_24	0.094042470627	dasatinib	0.37	24
TSC22D3	dasatinib_1.11_24	0.106634977086	dasatinib	1.11	24
TSC22D3	dasatinib_3.33_24	0.128039257124	dasatinib	3.33	24
TSC22D3	dasatinib_10.0_24	0.197449943737	dasatinib	10.0	24
DNAJA3	dasatinib_0.04_24	-0.0561855676733	dasatinib	0.04	24
DNAJA3	dasatinib_0.12_24	-0.0851123467525	dasatinib	0.12	24
DNAJA3	dasatinib_0.37_24	-0.0753069091397	dasatinib	0.37	24
DNAJA3	dasatinib_1.11_24	-0.0649837400227	dasatinib	1.11	24
DNAJA3	dasatinib_3.33_24	0.0135456101248	dasatinib	3.33	24
DNAJA3	dasatinib_10.0_24	-0.149815128044	dasatinib	10.0	24
DDIT4	dasatinib_0.04_24	0.141591474784	dasatinib	0.04	24
DDIT4	dasatinib_0.12_24	0.127690213785	dasatinib	0.12	24
DDIT4	dasatinib_0.37_24	0.146651879741	dasatinib	0.37	24
DDIT4	dasatinib_1.11_24	0.147044542163	dasatinib	1.11	24
DDIT4	dasatinib_3.33_24	0.155825919403	dasatinib	3.33	24
DDIT4	dasatinib_10.0_24	0.0715043887918	dasatinib	10.0	24
HSPB1	dasatinib_0.04_24	0.166611688826	dasatinib	0.04	24
HSPB1	dasatinib_0.12_24	0.139063537371	dasatinib	0.12	24
HSPB1	dasatinib_0.37_24	0.194624761265	dasatinib	0.37	24
HSPB1	dasatinib_1.11_24	0.183253036823	dasatinib	1.11	24
HSPB1	dasatinib_3.33_24	0.211887377333	dasatinib	3.33	24
HSPB1	dasatinib_10.0_24	0.235268205101	dasatinib	10.0	24
