source_gene_symbol	source_gene_symbol	target_gene_symbol	value
DNAJA3	DNAJA3	VDAC1	-0.424293353705
ACLY	ACLY	VDAC1	0.651948051948
APP	APP	VDAC1	-0.174637127578
HSPA8	HSPA8	VDAC1	0.338120702827
PCNA	PCNA	VDAC1	0.526967150497
HSPB1	HSPB1	VDAC1	0.0857142857143
SNAP25	SNAP25	VDAC1	-0.550802139037
CDC20	CDC20	VDAC1	0.50282658518
SQSTM1	SQSTM1	VDAC1	-0.0414056531704
TLR4	TLR4	VDAC1	-0.20397249809
BTK	BTK	VDAC1	-0.63269671505
GNAS	GNAS	VDAC1	0.584110007639
LSM5	LSM5	VDAC1	0.574025974026
PNP	PNP	VDAC1	0.686478227655
IFRD2	IFRD2	VDAC1	0.406875477464
DDIT4	DDIT4	VDAC1	0.531245225363
TSC22D3	TSC22D3	VDAC1	-0.00840336134454
CREG1	CREG1	VDAC1	0.110466004584
TES	TES	VDAC1	-0.529717341482
CTSD	CTSD	VDAC1	-0.381207028266
TXNRD1	TXNRD1	VDAC1	-0.0505729564553
TRIB3	TRIB3	VDAC1	-0.574942704354
TUBB6	TUBB6	VDAC1	0.809014514897
GAPDH	GAPDH	VDAC1	0.203666921314
VDAC1	VDAC1	DNAJA3	-0.424293353705
ACLY	ACLY	DNAJA3	-0.468907563025
APP	APP	DNAJA3	0.551718869366
HSPA8	HSPA8	DNAJA3	-0.541940412529
PCNA	PCNA	DNAJA3	-0.486325439267
HSPB1	HSPB1	DNAJA3	0.485103132162
SNAP25	SNAP25	DNAJA3	0.294423223835
CDC20	CDC20	DNAJA3	-0.613139801375
SQSTM1	SQSTM1	DNAJA3	0.36256684492
TLR4	TLR4	DNAJA3	-0.07410236822
BTK	BTK	DNAJA3	0.368983957219
GNAS	GNAS	DNAJA3	-0.260198624905
LSM5	LSM5	DNAJA3	-0.548663101604
PNP	PNP	DNAJA3	-0.648892284186
IFRD2	IFRD2	DNAJA3	-0.489686783804
DDIT4	DDIT4	DNAJA3	-0.0731856378915
TSC22D3	TSC22D3	DNAJA3	0.30359052712
CREG1	CREG1	DNAJA3	0.481436210848
TES	TES	DNAJA3	0.71550802139
CTSD	CTSD	DNAJA3	0.566386554622
TXNRD1	TXNRD1	DNAJA3	0.40076394194
TRIB3	TRIB3	DNAJA3	0.52910618793
TUBB6	TUBB6	DNAJA3	-0.686783804431
GAPDH	GAPDH	DNAJA3	0.434377387319
VDAC1	VDAC1	ACLY	0.651948051948
DNAJA3	DNAJA3	ACLY	-0.468907563025
APP	APP	ACLY	-0.410847975554
HSPA8	HSPA8	ACLY	0.428571428571
PCNA	PCNA	ACLY	0.494576012223
HSPB1	HSPB1	ACLY	-0.3179526356
SNAP25	SNAP25	ACLY	-0.404125286478
CDC20	CDC20	ACLY	0.669365928189
SQSTM1	SQSTM1	ACLY	-0.299312452254
TLR4	TLR4	ACLY	0.0469060351413
BTK	BTK	ACLY	-0.400458365164
GNAS	GNAS	ACLY	0.277616501146
LSM5	LSM5	ACLY	0.557524828113
PNP	PNP	ACLY	0.711229946524
IFRD2	IFRD2	ACLY	0.639113827349
DDIT4	DDIT4	ACLY	0.161497326203
TSC22D3	TSC22D3	ACLY	-0.224446142093
CREG1	CREG1	ACLY	-0.414820473644
TES	TES	ACLY	-0.51474407945
CTSD	CTSD	ACLY	-0.488770053476
TXNRD1	TXNRD1	ACLY	-0.342093200917
TRIB3	TRIB3	ACLY	-0.487242169595
TUBB6	TUBB6	ACLY	0.68128342246
GAPDH	GAPDH	ACLY	-0.221084797555
VDAC1	VDAC1	APP	-0.174637127578
DNAJA3	DNAJA3	APP	0.551718869366
ACLY	ACLY	APP	-0.410847975554
HSPA8	HSPA8	APP	-0.561802902979
PCNA	PCNA	APP	-0.477769289534
HSPB1	HSPB1	APP	0.787929717341
SNAP25	SNAP25	APP	0.0637127578304
CDC20	CDC20	APP	-0.646753246753
SQSTM1	SQSTM1	APP	0.804125286478
TLR4	TLR4	APP	-0.174331550802
BTK	BTK	APP	-0.0340718105424
GNAS	GNAS	APP	0.313674560733
LSM5	LSM5	APP	-0.278838808251
PNP	PNP	APP	-0.671199388846
IFRD2	IFRD2	APP	-0.517494270435
DDIT4	DDIT4	APP	0.38090145149
TSC22D3	TSC22D3	APP	0.686172650879
CREG1	CREG1	APP	0.746371275783
TES	TES	APP	0.520244461421
CTSD	CTSD	APP	0.694117647059
TXNRD1	TXNRD1	APP	0.817876241406
TRIB3	TRIB3	APP	0.530634071811
TUBB6	TUBB6	APP	-0.505271199389
GAPDH	GAPDH	APP	0.763483575248
VDAC1	VDAC1	HSPA8	0.338120702827
DNAJA3	DNAJA3	HSPA8	-0.541940412529
ACLY	ACLY	HSPA8	0.428571428571
APP	APP	HSPA8	-0.561802902979
PCNA	PCNA	HSPA8	0.70756302521
HSPB1	HSPB1	HSPA8	-0.564858670741
SNAP25	SNAP25	HSPA8	-0.256226126814
CDC20	CDC20	HSPA8	0.62230710466
SQSTM1	SQSTM1	HSPA8	-0.412987012987
TLR4	TLR4	HSPA8	0.206417112299
BTK	BTK	HSPA8	-0.283728036669
GNAS	GNAS	HSPA8	0.0707410236822
LSM5	LSM5	HSPA8	0.56577540107
PNP	PNP	HSPA8	0.69717341482
IFRD2	IFRD2	HSPA8	0.483269671505
DDIT4	DDIT4	HSPA8	-0.12268907563
TSC22D3	TSC22D3	HSPA8	-0.44782276547
CREG1	CREG1	HSPA8	-0.493353705118
TES	TES	HSPA8	-0.427349121467
CTSD	CTSD	HSPA8	-0.449656226127
TXNRD1	TXNRD1	HSPA8	-0.37448433919
TRIB3	TRIB3	HSPA8	-0.630557677617
TUBB6	TUBB6	HSPA8	0.50435446906
GAPDH	GAPDH	HSPA8	-0.593888464477
VDAC1	VDAC1	PCNA	0.526967150497
DNAJA3	DNAJA3	PCNA	-0.486325439267
ACLY	ACLY	PCNA	0.494576012223
APP	APP	PCNA	-0.477769289534
HSPA8	HSPA8	PCNA	0.70756302521
HSPB1	HSPB1	PCNA	-0.353399541635
SNAP25	SNAP25	PCNA	-0.318258212376
CDC20	CDC20	PCNA	0.633002291826
SQSTM1	SQSTM1	PCNA	-0.381207028266
TLR4	TLR4	PCNA	0.00198624904507
BTK	BTK	PCNA	-0.546829640947
