gene_symbol	signature	value	drug	concentration	timepoint
PCNA	neratinib_0.12_24	-0.187302201106	neratinib	0.12	24
PCNA	neratinib_1.11_24	-0.159902969055	neratinib	1.11	24
PCNA	neratinib_3.33_24	-0.13991492796	neratinib	3.33	24
PCNA	neratinib_10.0_24	-0.173476183557	neratinib	10.0	24
HSPB1	neratinib_0.12_24	0.411910736085	neratinib	0.12	24
HSPB1	neratinib_1.11_24	0.342099503017	neratinib	1.11	24
HSPB1	neratinib_3.33_24	0.313979692399	neratinib	3.33	24
HSPB1	neratinib_10.0_24	0.298890151427	neratinib	10.0	24
CREG1	neratinib_0.12_24	0.267606756041	neratinib	0.12	24
CREG1	neratinib_1.11_24	0.269176673004	neratinib	1.11	24
CREG1	neratinib_3.33_24	0.156586787977	neratinib	3.33	24
CREG1	neratinib_10.0_24	0.320153707604	neratinib	10.0	24
DNAJA3	neratinib_0.12_24	0.0299708869343	neratinib	0.12	24
DNAJA3	neratinib_1.11_24	-0.0895615739978	neratinib	1.11	24
DNAJA3	neratinib_3.33_24	-0.0269795751287	neratinib	3.33	24
DNAJA3	neratinib_10.0_24	0.0229262773213	neratinib	10.0	24
GAPDH	neratinib_0.12_24	0.107150928606	neratinib	0.12	24
GAPDH	neratinib_1.11_24	0.0904493057036	neratinib	1.11	24
GAPDH	neratinib_3.33_24	0.0962732002615	neratinib	3.33	24
GAPDH	neratinib_10.0_24	0.0957449494051	neratinib	10.0	24
CDC20	neratinib_0.12_24	-0.225062422118	neratinib	0.12	24
CDC20	neratinib_1.11_24	-0.200722118725	neratinib	1.11	24
CDC20	neratinib_3.33_24	-0.171218932744	neratinib	3.33	24
CDC20	neratinib_10.0_24	-0.169578874199	neratinib	10.0	24
APP	neratinib_0.12_24	0.128287202817	neratinib	0.12	24
APP	neratinib_1.11_24	0.12841913092	neratinib	1.11	24
APP	neratinib_3.33_24	0.159740038072	neratinib	3.33	24
APP	neratinib_10.0_24	0.141067540677	neratinib	10.0	24
ACLY	neratinib_0.12_24	-0.0059962053796	neratinib	0.12	24
ACLY	neratinib_1.11_24	-0.0204020891045	neratinib	1.11	24
ACLY	neratinib_3.33_24	0.0658414088466	neratinib	3.33	24
ACLY	neratinib_10.0_24	0.00929839642839	neratinib	10.0	24
TLR4	neratinib_0.12_24	0.0072960980657	neratinib	0.12	24
TLR4	neratinib_1.11_24	-0.00238249947034	neratinib	1.11	24
TLR4	neratinib_3.33_24	0.00357315734922	neratinib	3.33	24
TLR4	neratinib_10.0_24	0.00662637641589	neratinib	10.0	24
IFRD2	neratinib_0.12_24	-0.133174324235	neratinib	0.12	24
IFRD2	neratinib_1.11_24	-0.125704547545	neratinib	1.11	24
IFRD2	neratinib_3.33_24	-0.119981741983	neratinib	3.33	24
IFRD2	neratinib_10.0_24	-0.0836810150877	neratinib	10.0	24
VDAC1	neratinib_0.12_24	-0.106465265495	neratinib	0.12	24
