source_gene_symbol	source_gene_symbol	target_gene_symbol	value
RGS2	RGS2	E2F2	-0.304433497537
ACLY	ACLY	E2F2	-0.145320197044
APP	APP	E2F2	-0.431034482759
CCNB1	CCNB1	E2F2	0.289655172414
PCNA	PCNA	E2F2	0.150246305419
HSPB1	HSPB1	E2F2	-0.333497536946
BIRC5	BIRC5	E2F2	0.28078817734
CDC20	CDC20	E2F2	0.246798029557
UBE2C	UBE2C	E2F2	0.315270935961
LSM5	LSM5	E2F2	0.391625615764
IFRD2	IFRD2	E2F2	0.129064039409
TSC22D3	TSC22D3	E2F2	-0.505911330049
CREG1	CREG1	E2F2	-0.467980295567
TCEAL4	TCEAL4	E2F2	-0.555172413793
MUC1	MUC1	E2F2	-0.448768472906
TOP2A	TOP2A	E2F2	0.256650246305
DUSP6	DUSP6	E2F2	0.196551724138
CAPN1	CAPN1	E2F2	-0.474384236453
CCNB2	CCNB2	E2F2	0.240886699507
TXNRD1	TXNRD1	E2F2	-0.49802955665
TSPAN4	TSPAN4	E2F2	0.0699507389163
TUBB6	TUBB6	E2F2	0.364039408867
FOSL1	FOSL1	E2F2	0.384729064039
GAPDH	GAPDH	E2F2	-0.304433497537
E2F2	E2F2	RGS2	-0.304433497537
ACLY	ACLY	RGS2	0.169458128079
APP	APP	RGS2	0.254679802956
CCNB1	CCNB1	RGS2	-0.392610837438
PCNA	PCNA	RGS2	-0.293596059113
HSPB1	HSPB1	RGS2	0.447783251232
BIRC5	BIRC5	RGS2	-0.31724137931
CDC20	CDC20	RGS2	-0.448275862069
UBE2C	UBE2C	RGS2	-0.430049261084
LSM5	LSM5	RGS2	-0.532019704433
IFRD2	IFRD2	RGS2	-0.350738916256
TSC22D3	TSC22D3	RGS2	0.409359605911
CREG1	CREG1	RGS2	0.570443349754
TCEAL4	TCEAL4	RGS2	0.317733990148
MUC1	MUC1	RGS2	0.526600985222
TOP2A	TOP2A	RGS2	-0.441871921182
DUSP6	DUSP6	RGS2	-0.0325123152709
CAPN1	CAPN1	RGS2	0.427586206897
CCNB2	CCNB2	RGS2	-0.36157635468
TXNRD1	TXNRD1	RGS2	0.515763546798
TSPAN4	TSPAN4	RGS2	-0.174876847291
TUBB6	TUBB6	RGS2	-0.567487684729
FOSL1	FOSL1	RGS2	-0.442857142857
GAPDH	GAPDH	RGS2	0.294088669951
E2F2	E2F2	ACLY	-0.145320197044
RGS2	RGS2	ACLY	0.169458128079
APP	APP	ACLY	0.131527093596
CCNB1	CCNB1	ACLY	-0.0133004926108
PCNA	PCNA	ACLY	0.372413793103
HSPB1	HSPB1	ACLY	0.3
BIRC5	BIRC5	ACLY	0.105418719212
CDC20	CDC20	ACLY	-0.169458128079
UBE2C	UBE2C	ACLY	0.186699507389
LSM5	LSM5	ACLY	-0.1
IFRD2	IFRD2	ACLY	0.485714285714
TSC22D3	TSC22D3	ACLY	0.371921182266
CREG1	CREG1	ACLY	0.345812807882
TCEAL4	TCEAL4	ACLY	0.208374384236
MUC1	MUC1	ACLY	0.275862068966
TOP2A	TOP2A	ACLY	0.0812807881773
DUSP6	DUSP6	ACLY	-0.409359605911
CAPN1	CAPN1	ACLY	0.166009852217
CCNB2	CCNB2	ACLY	0.17881773399
TXNRD1	TXNRD1	ACLY	0.334975369458
TSPAN4	TSPAN4	ACLY	0.540886699507
TUBB6	TUBB6	ACLY	0.177832512315
FOSL1	FOSL1	ACLY	-0.195073891626
GAPDH	GAPDH	ACLY	0.398522167488
E2F2	E2F2	APP	-0.431034482759
RGS2	RGS2	APP	0.254679802956
ACLY	ACLY	APP	0.131527093596
CCNB1	CCNB1	APP	-0.557142857143
PCNA	PCNA	APP	-0.392610837438
HSPB1	HSPB1	APP	0.83842364532
BIRC5	BIRC5	APP	-0.722660098522
CDC20	CDC20	APP	-0.517733990148
UBE2C	UBE2C	APP	-0.700492610837
LSM5	LSM5	APP	-0.439901477833
IFRD2	IFRD2	APP	0.0177339901478
TSC22D3	TSC22D3	APP	0.822167487685
CREG1	CREG1	APP	0.806896551724
TCEAL4	TCEAL4	APP	0.8039408867
MUC1	MUC1	APP	0.722167487685
TOP2A	TOP2A	APP	-0.574384236453
DUSP6	DUSP6	APP	-0.0975369458128
CAPN1	CAPN1	APP	0.739408866995
CCNB2	CCNB2	APP	-0.710344827586
TXNRD1	TXNRD1	APP	0.795073891626
TSPAN4	TSPAN4	APP	-0.23645320197
TUBB6	TUBB6	APP	-0.580295566502
FOSL1	FOSL1	APP	-0.651231527094
GAPDH	GAPDH	APP	0.786206896552
E2F2	E2F2	CCNB1	0.289655172414
RGS2	RGS2	CCNB1	-0.392610837438
ACLY	ACLY	CCNB1	-0.0133004926108
APP	APP	CCNB1	-0.557142857143
PCNA	PCNA	CCNB1	0.666009852217
HSPB1	HSPB1	CCNB1	-0.610837438424
BIRC5	BIRC5	CCNB1	0.758128078818
CDC20	CDC20	CCNB1	0.531034482759
UBE2C	UBE2C	CCNB1	0.760098522167
LSM5	LSM5	CCNB1	0.632512315271
IFRD2	IFRD2	CCNB1	0.308866995074
TSC22D3	TSC22D3	CCNB1	-0.67881773399
CREG1	CREG1	CCNB1	-0.62118226601
TCEAL4	TCEAL4	CCNB1	-0.673891625616
MUC1	MUC1	CCNB1	-0.647783251232
TOP2A	TOP2A	CCNB1	0.784729064039
DUSP6	DUSP6	CCNB1	-0.326600985222
CAPN1	CAPN1	CCNB1	-0.687684729064
CCNB2	CCNB2	CCNB1	0.712807881773
TXNRD1	TXNRD1	CCNB1	-0.587192118227
TSPAN4	TSPAN4	CCNB1	0.439901477833
TUBB6	TUBB6	CCNB1	0.712807881773
FOSL1	FOSL1	CCNB1	0.513793103448
GAPDH	GAPDH	CCNB1	-0.272906403941
E2F2	E2F2	PCNA	0.150246305419
RGS2	RGS2	PCNA	-0.293596059113
ACLY	ACLY	PCNA	0.372413793103
APP	APP	PCNA	-0.392610837438
CCNB1	CCNB1	PCNA	0.666009852217
HSPB1	HSPB1	PCNA	-0.409359605911
BIRC5	BIRC5	PCNA	0.679310344828
CDC20	CDC20	PCNA	0.366009852217
UBE2C	UBE2C	PCNA	0.715270935961
LSM5	LSM5	PCNA	0.475862068966
