source_gene_symbol	source_gene_symbol	target_gene_symbol	value
HSPB1	HSPB1	CDH3	0.905271199389
HSPB1	HSPB1	LRP10	0.9410236822
CDC20	CDC20	BIRC5	0.915660809778
CDC20	CDC20	UBE2C	0.927272727273
CDC20	CDC20	CCNA2	0.937356760886
CDC20	CDC20	TOP2A	0.956913674561
CDC20	CDC20	CCNB2	0.931856378915
CDC20	CDC20	PLK1	0.901909854851
VDAC1	VDAC1	NFATC4	-0.904965622613
TSC22D3	TSC22D3	SQSTM1	0.919022154316
TXNRD1	TXNRD1	SQSTM1	0.937662337662
SQSTM1	SQSTM1	TSC22D3	0.919022154316
SQSTM1	SQSTM1	TXNRD1	0.937662337662
PNP	PNP	ZNF395	-0.920550038197
PNP	PNP	GTF2A2	0.912605042017
PNP	PNP	NUP85	0.90832696715
PNP	PNP	MYCBP	0.917494270435
