gene_symbol	signature	value	drug	concentration	timepoint
ACLY	neratinib_0.04_3	-0.148737003627	neratinib	0.04	3
ACLY	neratinib_0.12_3	-0.289090075862	neratinib	0.12	3
ACLY	neratinib_0.37_3	-0.106329466348	neratinib	0.37	3
ACLY	neratinib_1.11_3	-0.0223576110103	neratinib	1.11	3
ACLY	neratinib_3.33_3	-0.204668821532	neratinib	3.33	3
ACLY	neratinib_10.0_3	-0.155975979796	neratinib	10.0	3
ACLY	neratinib_0.12_24	-0.0059962053796	neratinib	0.12	24
ACLY	neratinib_1.11_24	-0.0204020891045	neratinib	1.11	24
ACLY	neratinib_3.33_24	0.0658414088466	neratinib	3.33	24
ACLY	neratinib_10.0_24	0.00929839642839	neratinib	10.0	24
APP	neratinib_0.04_3	-0.0708753363375	neratinib	0.04	3
APP	neratinib_0.12_3	-0.0743076056201	neratinib	0.12	3
APP	neratinib_0.37_3	-0.102339937395	neratinib	0.37	3
APP	neratinib_1.11_3	-0.110887841374	neratinib	1.11	3
APP	neratinib_3.33_3	-0.0325643581145	neratinib	3.33	3
APP	neratinib_10.0_3	-0.0875487832778	neratinib	10.0	3
APP	neratinib_0.12_24	0.128287202817	neratinib	0.12	24
APP	neratinib_1.11_24	0.12841913092	neratinib	1.11	24
APP	neratinib_3.33_24	0.159740038072	neratinib	3.33	24
APP	neratinib_10.0_24	0.141067540677	neratinib	10.0	24
BTK	neratinib_0.04_3	-0.217437472883	neratinib	0.04	3
BTK	neratinib_0.12_3	-0.0280842794498	neratinib	0.12	3
BTK	neratinib_0.37_3	-0.178064479619	neratinib	0.37	3
BTK	neratinib_1.11_3	-0.122799354057	neratinib	1.11	3
BTK	neratinib_3.33_3	-0.0919108318626	neratinib	3.33	3
BTK	neratinib_10.0_3	-0.038159584413	neratinib	10.0	3
BTK	neratinib_0.12_24	0.00146964154922	neratinib	0.12	24
BTK	neratinib_1.11_24	0.000501841740029	neratinib	1.11	24
BTK	neratinib_3.33_24	0.00192456386047	neratinib	3.33	24
BTK	neratinib_10.0_24	0.00222733987483	neratinib	10.0	24
CDC20	neratinib_0.04_3	-0.0327727689233	neratinib	0.04	3
CDC20	neratinib_0.12_3	0.0168490377931	neratinib	0.12	3
CDC20	neratinib_0.37_3	-0.130160599231	neratinib	0.37	3
CDC20	neratinib_1.11_3	-0.0373686213849	neratinib	1.11	3
CDC20	neratinib_3.33_3	0.0757598385579	neratinib	3.33	3
CDC20	neratinib_10.0_3	-0.11577453099	neratinib	10.0	3
CDC20	neratinib_0.12_24	-0.225062422118	neratinib	0.12	24
CDC20	neratinib_1.11_24	-0.200722118725	neratinib	1.11	24
CDC20	neratinib_3.33_24	-0.171218932744	neratinib	3.33	24
CDC20	neratinib_10.0_24	-0.169578874199	neratinib	10.0	24
CREG1	neratinib_0.04_3	-0.0819114008976	neratinib	0.04	3
CREG1	neratinib_0.12_3	0.127307485952	neratinib	0.12	3
CREG1	neratinib_0.37_3	0.114239323176	neratinib	0.37	3
CREG1	neratinib_1.11_3	0.216356688141	neratinib	1.11	3
CREG1	neratinib_3.33_3	0.0760506972911	neratinib	3.33	3
CREG1	neratinib_10.0_3	0.0146084063478	neratinib	10.0	3
CREG1	neratinib_0.12_24	0.267606756041	neratinib	0.12	24
CREG1	neratinib_1.11_24	0.269176673004	neratinib	1.11	24
CREG1	neratinib_3.33_24	0.156586787977	neratinib	3.33	24
CREG1	neratinib_10.0_24	0.320153707604	neratinib	10.0	24
CTSD	neratinib_0.04_3	-0.0279161879391	neratinib	0.04	3
CTSD	neratinib_0.12_3	0.0109179114312	neratinib	0.12	3
CTSD	neratinib_0.37_3	0.0205001667274	neratinib	0.37	3
CTSD	neratinib_1.11_3	0.0157253704576	neratinib	1.11	3
CTSD	neratinib_3.33_3	0.0144424200411	neratinib	3.33	3
CTSD	neratinib_10.0_3	0.031670676257	neratinib	10.0	3
CTSD	neratinib_0.12_24	0.138963710768	neratinib	0.12	24
CTSD	neratinib_1.11_24	0.128332568658	neratinib	1.11	24
CTSD	neratinib_3.33_24	0.154812755011	neratinib	3.33	24
CTSD	neratinib_10.0_24	0.160067503349	neratinib	10.0	24
DDIT4	neratinib_0.04_3	-0.0273161626768	neratinib	0.04	3
DDIT4	neratinib_0.12_3	0.108821959363	neratinib	0.12	3
DDIT4	neratinib_0.37_3	0.0932576966613	neratinib	0.37	3
DDIT4	neratinib_1.11_3	0.0686930771109	neratinib	1.11	3
DDIT4	neratinib_3.33_3	0.0831406123551	neratinib	3.33	3
DDIT4	neratinib_10.0_3	0.0500532289919	neratinib	10.0	3
DDIT4	neratinib_0.12_24	0.0871096916784	neratinib	0.12	24
DDIT4	neratinib_1.11_24	0.116476715931	neratinib	1.11	24
DDIT4	neratinib_3.33_24	0.123430847035	neratinib	3.33	24
DDIT4	neratinib_10.0_24	0.115367812902	neratinib	10.0	24
DNAJA3	neratinib_0.04_3	-0.0524547283241	neratinib	0.04	3
DNAJA3	neratinib_0.12_3	-0.27580899211	neratinib	0.12	3
DNAJA3	neratinib_0.37_3	0.0776986200648	neratinib	0.37	3
DNAJA3	neratinib_1.11_3	0.263852354168	neratinib	1.11	3
DNAJA3	neratinib_3.33_3	0.134156138019	neratinib	3.33	3
DNAJA3	neratinib_10.0_3	-0.362469841162	neratinib	10.0	3
DNAJA3	neratinib_0.12_24	0.0299708869343	neratinib	0.12	24
DNAJA3	neratinib_1.11_24	-0.0895615739978	neratinib	1.11	24
DNAJA3	neratinib_3.33_24	-0.0269795751287	neratinib	3.33	24
DNAJA3	neratinib_10.0_24	0.0229262773213	neratinib	10.0	24
GAPDH	neratinib_0.04_3	-0.199316886882	neratinib	0.04	3
GAPDH	neratinib_0.12_3	-0.00469914673664	neratinib	0.12	3
GAPDH	neratinib_0.37_3	0.0932606284763	neratinib	0.37	3
GAPDH	neratinib_1.11_3	-0.126494527284	neratinib	1.11	3
GAPDH	neratinib_3.33_3	-0.320388675281	neratinib	3.33	3
GAPDH	neratinib_10.0_3	0.0666515806154	neratinib	10.0	3
GAPDH	neratinib_0.12_24	0.107150928606	neratinib	0.12	24
GAPDH	neratinib_1.11_24	0.0904493057036	neratinib	1.11	24
GAPDH	neratinib_3.33_24	0.0962732002615	neratinib	3.33	24
GAPDH	neratinib_10.0_24	0.0957449494051	neratinib	10.0	24
GNAS	neratinib_0.04_3	0.191957512351	neratinib	0.04	3
GNAS	neratinib_0.12_3	-0.040722539559	neratinib	0.12	3
GNAS	neratinib_0.37_3	0.259239189159	neratinib	0.37	3
GNAS	neratinib_1.11_3	0.1682774316	neratinib	1.11	3
GNAS	neratinib_3.33_3	0.044182495238	neratinib	3.33	3
GNAS	neratinib_10.0_3	0.100162524791	neratinib	10.0	3
GNAS	neratinib_0.12_24	0.0374203298916	neratinib	0.12	24
GNAS	neratinib_1.11_24	0.0326275735647	neratinib	1.11	24
GNAS	neratinib_3.33_24	0.0213620823663	neratinib	3.33	24
GNAS	neratinib_10.0_24	0.0297381370325	neratinib	10.0	24
HSPA8	neratinib_0.04_3	0.0741798904038	neratinib	0.04	3
HSPA8	neratinib_0.12_3	-0.128118497778	neratinib	0.12	3
HSPA8	neratinib_0.37_3	-0.0911077095406	neratinib	0.37	3
HSPA8	neratinib_1.11_3	-0.139678306964	neratinib	1.11	3
HSPA8	neratinib_3.33_3	-0.121998336195	neratinib	3.33	3
HSPA8	neratinib_10.0_3	-0.118791459341	neratinib	10.0	3
HSPA8	neratinib_0.12_24	0.0382507586149	neratinib	0.12	24
HSPA8	neratinib_1.11_24	0.0215238863731	neratinib	1.11	24
HSPA8	neratinib_3.33_24	0.00767089595673	neratinib	3.33	24
HSPA8	neratinib_10.0_24	0.0295808281074	neratinib	10.0	24
HSPB1	neratinib_0.04_3	0.0104709075993	neratinib	0.04	3
HSPB1	neratinib_0.12_3	0.123685879161	neratinib	0.12	3
HSPB1	neratinib_0.37_3	0.0655735677129	neratinib	0.37	3
HSPB1	neratinib_1.11_3	0.0635557417285	neratinib	1.11	3
