source_gene_symbol	source_gene_symbol	target_gene_symbol	value
HSPB1	HSPB1	DDIT4	0.923645320197
HSPB1	HSPB1	CREG1	0.939408866995
HSPB1	HSPB1	DHX29	-0.910344827586
HSPB1	HSPB1	MVP	0.9039408867
HSPB1	HSPB1	LRP10	0.936945812808
GAPDH	GAPDH	RPS6	0.900492610837
CREG1	CREG1	HSPB1	0.939408866995
CREG1	CREG1	PDLIM1	0.909359605911
CREG1	CREG1	ACAT2	-0.908374384236
CREG1	CREG1	DHX29	-0.906403940887
CREG1	CREG1	MVP	0.903448275862
CREG1	CREG1	CDH3	0.901477832512
CREG1	CREG1	LRP10	0.916256157635
CCNB2	CCNB2	NUP88	0.910344827586
CCNB2	CCNB2	CDK1	0.910837438424
CCNB2	CCNB2	CTSD	-0.952216748768
TOP2A	TOP2A	CDK1	0.918226600985
TSC22D3	TSC22D3	SERPINE1	0.916256157635
TSC22D3	TSC22D3	PSMB8	0.905911330049
TSC22D3	TSC22D3	GNAS	0.907881773399
TSC22D3	TSC22D3	TPM1	0.924137931034
TSC22D3	TSC22D3	NISCH	0.922660098522
TSC22D3	TSC22D3	TLE1	0.927586206897
TSC22D3	TSC22D3	TXNRD1	0.90197044335
TSC22D3	TSC22D3	DECR1	0.90197044335
CAPN1	CAPN1	MUC1	0.935960591133
TCEAL4	TCEAL4	SERPINE1	0.908374384236
TUBB6	TUBB6	CDK4	0.902463054187
TUBB6	TUBB6	TMEM97	0.904926108374
TUBB6	TUBB6	LBR	0.916748768473
TUBB6	TUBB6	EIF4EBP1	0.910837438424
TUBB6	TUBB6	PARP1	0.913793103448
UBE2C	UBE2C	CDK4	0.920197044335
UBE2C	UBE2C	SMC4	0.95960591133
UBE2C	UBE2C	UBR7	0.950246305419
UBE2C	UBE2C	BLMH	0.906403940887
UBE2C	UBE2C	LBR	0.924630541872
UBE2C	UBE2C	PARP1	0.914778325123
MUC1	MUC1	CDK2	-0.911330049261
MUC1	MUC1	CAPN1	0.935960591133
BIRC5	BIRC5	MCM3	0.902463054187
BIRC5	BIRC5	CCNA2	0.902463054187
BIRC5	BIRC5	NUP88	0.9039408867
TXNRD1	TXNRD1	SERPINE1	0.919704433498
TXNRD1	TXNRD1	PSMB8	0.905418719212
TXNRD1	TXNRD1	NENF	0.90197044335
TXNRD1	TXNRD1	SQSTM1	0.902955665025
TXNRD1	TXNRD1	CLIC4	0.946305418719
TXNRD1	TXNRD1	PSRC1	-0.903448275862
TXNRD1	TXNRD1	TMEM50A	0.903448275862
TXNRD1	TXNRD1	TSC22D3	0.90197044335
TXNRD1	TXNRD1	VAT1	0.929556650246
TXNRD1	TXNRD1	DECR1	0.922660098522
